Tensao [V];Corrente [A]
-5;-6,462917E-10
-4,95;-6,213712E-10
-4,9;-6,072813E-10
-4,85;-5,941402E-10
-4,8;-5,808093E-10
-4,75;-5,72E-10
-4,7;-5,61745E-10
-4,65;-5,515725E-10
-4,6;-5,40943E-10
-4,55;-5,33809E-10
-4,5;-5,257381E-10
-4,45;-5,172439E-10
-4,4;-5,086303E-10
-4,35;-4,993463E-10
-4,3;-4,93448E-10
-4,25;-4,857483E-10
-4,2;-4,768293E-10
-4,15;-4,690524E-10
-4,1;-4,615773E-10
-4,05;-4,532734E-10
-4;-4,449451E-10
-3,95;-4,363554E-10
-3,9;-4,288953E-10
-3,85;-4,209347E-10
-3,8;-4,122893E-10
-3,75;-4,028019E-10
-3,7;-3,975099E-10
-3,65;-3,878148E-10
-3,6;-3,801019E-10
-3,55;-3,72846E-10
-3,5;-3,633498E-10
-3,45;-3,554276E-10
-3,4;-3,459512E-10
-3,35;-3,387499E-10
-3,3;-3,298977E-10
-3,25;-3,21089E-10
-3,2;-3,108819E-10
-3,15;-3,017893E-10
-3,1;-2,93274E-10
-3,05;-2,829494E-10
-3;-2,731969E-10
-2,95;-2,646531E-10
-2,9;-2,553936E-10
-2,85;-2,446143E-10
-2,8;-2,356134E-10
-2,75;-2,266114E-10
-2,7;-2,152911E-10
-2,65;-2,051511E-10
-2,6;-1,971866E-10
-2,55;-1,880274E-10
-2,5;-1,788384E-10
-2,45;-1,696196E-10
-2,4;-1,600852E-10
-2,35;-1,503474E-10
-2,3;-1,402172E-10
-2,25;-1,303348E-10
-2,2;-1,191283E-10
-2,15;-1,083949E-10
-2,1;-9,810733E-11
-2,05;-8,714741E-11
-2;-7,683391E-11
-1,95;-6,546034E-11
-1,9;-5,444338E-11
-1,85;-4,171122E-11
-1,8;-3,092713E-11
-1,75;-1,94012E-11
-1,7;-8,790478E-12
-1,65;3,168925E-12
-1,6;1,631854E-11
-1,55;2,883779E-11
-1,5;4,123687E-11
-1,45;5,485095E-11
-1,4;6,871017E-11
-1,35;8,210989E-11
-1,3;9,599517E-11
-1,25;1,099733E-10
-1,2;1,248889E-10
-1,15;1,410825E-10
-1,1;1,558681E-10
-1,05;1,736619E-10
-1;1,920239E-10
-0,95;2,094907E-10
-0,9;2,287694E-10
-0,85;2,486673E-10
-0,8;2,710294E-10
-0,75;2,95055E-10
-0,7;3,206235E-10
-0,65;3,504438E-10
-0,6;3,892981E-10
-0,55;4,460895E-10
-0,5;5,425437E-10
-0,45;7,08032E-10
-0,4;9,941277E-10
-0,35;1,461154E-09
-0,3;2,490742E-09
-0,25;3,219304E-09
-0,2;4,584179E-09
-0,15;6,282639E-09
-0,1;8,400049E-09
-0,05;1,082094E-08
0;1,386809E-08
0,05;1,591435E-08
0,1;1,831762E-08
0,15;2,193224E-08
0,2;2,437632E-08
0,25;2,675371E-08
0,3;2,909199E-08
0,35;3,141188E-08
0,4;3,371857E-08
0,45;3,593938E-08
0,5;3,808537E-08
0,55;4,024978E-08
0,6;4,238224E-08
0,65;4,442122E-08
0,7;4,639062E-08
0,75;4,83423E-08
0,8;5,029695E-08
0,85;5,212811E-08
0,9;5,392665E-08
0,95;5,568622E-08
1;5,743772E-08
1,05;5,910188E-08
1,1;6,068647E-08
1,15;6,222884E-08
1,2;6,374849E-08
1,25;6,519782E-08
1,3;6,656836E-08
1,35;6,791323E-08
1,4;6,922868E-08
1,45;7,04874E-08
1,5;7,165053E-08
1,55;7,280313E-08
1,6;7,393002E-08
1,65;7,500969E-08
1,7;7,603126E-08
1,75;7,701809E-08
1,8;7,802569E-08
1,85;7,897368E-08
1,9;7,988187E-08
1,95;8,076112E-08
2;8,163869E-08
2,05;8,251799E-08
2,1;8,333532E-08
2,15;8,408639E-08
2,2;8,494795E-08
2,25;8,574274E-08
2,3;8,647987E-08
2,35;8,72048E-08
2,4;8,797162E-08
2,45;8,870482E-08
2,5;8,938617E-08
2,55;9,005215E-08
2,6;9,074345E-08
2,65;9,142185E-08
2,7;9,205694E-08
2,75;9,265882E-08
2,8;9,329695E-08
2,85;9,390515E-08
2,9;9,449486E-08
2,95;9,504939E-08
3;9,559183E-08
3,05;9,616673E-08
3,1;9,669897E-08
3,15;9,720524E-08
3,2;9,77109E-08
3,25;9,821967E-08
3,3;9,869785E-08
3,35;9,916859E-08
3,4;9,962669E-08
3,45;1,001051E-07
3,5;1,005577E-07
3,55;1,009776E-07
3,6;1,014235E-07
3,65;1,018558E-07
3,7;1,022753E-07
3,75;1,026759E-07
3,8;1,030826E-07
3,85;1,035109E-07
3,9;1,039012E-07
3,95;1,042644E-07
4;1,046577E-07
4,05;1,050731E-07
4,1;1,054767E-07
4,15;1,058265E-07
4,2;1,061862E-07
4,25;1,065728E-07
4,3;1,069447E-07
4,35;1,072995E-07
4,4;1,076591E-07
4,45;1,080367E-07
4,5;1,083985E-07
4,55;1,087449E-07
4,6;1,090626E-07
4,65;1,094261E-07
4,7;1,097969E-07
4,75;1,100893E-07
4,8;1,104151E-07
4,85;1,107408E-07
4,9;1,11078E-07
4,95;1,113801E-07
5;1,116656E-07
