Tensao [V];Corrente [A]
-5;-1,308342E-09
-4,95;-1,269379E-09
-4,9;-1,247138E-09
-4,85;-1,232477E-09
-4,8;-1,215078E-09
-4,75;-1,200844E-09
-4,7;-1,188281E-09
-4,65;-1,179378E-09
-4,6;-1,162518E-09
-4,55;-1,151803E-09
-4,5;-1,14084E-09
-4,45;-1,129687E-09
-4,4;-1,116623E-09
-4,35;-1,103791E-09
-4,3;-1,096484E-09
-4,25;-1,08702E-09
-4,2;-1,075128E-09
-4,15;-1,063017E-09
-4,1;-1,053684E-09
-4,05;-1,045353E-09
-4;-1,034606E-09
-3,95;-1,020614E-09
-3,9;-1,009126E-09
-3,85;-1,000399E-09
-3,8;-9,899319E-10
-3,75;-9,782306E-10
-3,7;-9,70192E-10
-3,65;-9,636347E-10
-3,6;-9,535955E-10
-3,55;-9,429685E-10
-3,5;-9,313765E-10
-3,45;-9,230198E-10
-3,4;-9,111638E-10
-3,35;-9,00874E-10
-3,3;-8,920717E-10
-3,25;-8,824545E-10
-3,2;-8,71019E-10
-3,15;-8,581393E-10
-3,1;-8,47442E-10
-3,05;-8,386949E-10
-3;-8,289756E-10
-2,95;-8,137764E-10
-2,9;-8,041598E-10
-2,85;-7,945909E-10
-2,8;-7,822685E-10
-2,75;-7,704494E-10
-2,7;-7,574235E-10
-2,65;-7,478806E-10
-2,6;-7,374903E-10
-2,55;-7,231015E-10
-2,5;-7,104778E-10
-2,45;-7,004519E-10
-2,4;-6,874011E-10
-2,35;-6,732177E-10
-2,3;-6,582883E-10
-2,25;-6,443313E-10
-2,2;-6,304585E-10
-2,15;-6,171512E-10
-2,1;-6,030643E-10
-2,05;-5,889993E-10
-2;-5,734995E-10
-1,95;-5,577666E-10
-1,9;-5,429782E-10
-1,85;-5,273856E-10
-1,8;-5,07749E-10
-1,75;-4,88615E-10
-1,7;-4,685803E-10
-1,65;-4,513336E-10
-1,6;-4,259533E-10
-1,55;-3,942138E-10
-1,5;-3,5567E-10
-1,45;-3,116314E-10
-1,4;-2,497216E-10
-1,35;-1,740536E-10
-1,3;-7,069331E-11
-1,25;5,688866E-11
-1,2;2,185074E-10
-1,15;4,272006E-10
-1,1;6,979826E-10
-1,05;1,057982E-09
-1;1,542609E-09
-0,95;2,379241E-09
-0,9;3,168127E-09
-0,85;4,515439E-09
-0,8;6,455202E-09
-0,75;9,182471E-09
-0,7;1,297999E-08
-0,65;1,82366E-08
-0,6;2,880277E-08
-0,55;4,011257E-08
-0,5;5,504436E-08
-0,45;7,431935E-08
-0,4;9,851841E-08
-0,35;1,274838E-07
-0,3;1,598903E-07
-0,25;1,939764E-07
-0,2;2,282572E-07
-0,15;2,627969E-07
-0,1;2,974827E-07
-0,05;3,322065E-07
0;3,672103E-07
0,05;4,022333E-07
0,1;4,371779E-07
0,15;4,722256E-07
0,2;5,074043E-07
0,25;5,42619E-07
0,3;5,780666E-07
0,35;6,13289E-07
0,4;6,485832E-07
0,45;6,837594E-07
0,5;7,189318E-07
0,55;7,541855E-07
0,6;7,891631E-07
0,65;8,24034E-07
0,7;8,586441E-07
0,75;8,930396E-07
0,8;9,270791E-07
0,85;9,605064E-07
0,9;9,932475E-07
0,95;1,025304E-06
1;1,056557E-06
1,05;1,086984E-06
1,1;1,11646E-06
1,15;1,14468E-06
1,2;1,171959E-06
1,25;1,198078E-06
1,3;1,223074E-06
1,35;1,247006E-06
1,4;1,269762E-06
1,45;1,291593E-06
1,5;1,312429E-06
1,55;1,332453E-06
1,6;1,351677E-06
1,65;1,370074E-06
1,7;1,387831E-06
1,75;1,40487E-06
1,8;1,421508E-06
1,85;1,43749E-06
1,9;1,453092E-06
1,95;1,46809E-06
2;1,482766E-06
2,05;1,497051E-06
2,1;1,511015E-06
2,15;1,524677E-06
2,2;1,537905E-06
2,25;1,551028E-06
2,3;1,563652E-06
2,35;1,576228E-06
2,4;1,588292E-06
2,45;1,600004E-06
2,5;1,61157E-06
2,55;1,622643E-06
2,6;1,633732E-06
2,65;1,644267E-06
2,7;1,654673E-06
2,75;1,664712E-06
2,8;1,674475E-06
2,85;1,684076E-06
2,9;1,693365E-06
2,95;1,702526E-06
3;1,71123E-06
3,05;1,720084E-06
3,1;1,728615E-06
3,15;1,737019E-06
3,2;1,74531E-06
3,25;1,753326E-06
3,3;1,761341E-06
3,35;1,7691E-06
3,4;1,776938E-06
3,45;1,784386E-06
3,5;1,79188E-06
3,55;1,799264E-06
3,6;1,806461E-06
3,65;1,813669E-06
3,7;1,820471E-06
3,75;1,827427E-06
3,8;1,834047E-06
3,85;1,840733E-06
3,9;1,847177E-06
3,95;1,853542E-06
4;1,859971E-06
4,05;1,866097E-06
4,1;1,872284E-06
4,15;1,87819E-06
4,2;1,884263E-06
4,25;1,890038E-06
4,3;1,895962E-06
4,35;1,901638E-06
4,4;1,907228E-06
4,45;1,912965E-06
4,5;1,918375E-06
4,55;1,923955E-06
4,6;1,929337E-06
4,65;1,934814E-06
4,7;1,940088E-06
4,75;1,945342E-06
4,8;1,950577E-06
4,85;1,955603E-06
4,9;1,960924E-06
4,95;1,965929E-06
5;1,970993E-06
