Tensao [V];Corrente [A]
-5;-1,364014E-09
-4,95;-1,326241E-09
-4,9;-1,304428E-09
-4,85;-1,28896E-09
-4,8;-1,275534E-09
-4,75;-1,262333E-09
-4,7;-1,249338E-09
-4,65;-1,240263E-09
-4,6;-1,231446E-09
-4,55;-1,2188E-09
-4,5;-1,208544E-09
-4,45;-1,198868E-09
-4,4;-1,190175E-09
-4,35;-1,181787E-09
-4,3;-1,1684E-09
-4,25;-1,160775E-09
-4,2;-1,152923E-09
-4,15;-1,141215E-09
-4,1;-1,128669E-09
-4,05;-1,122601E-09
-4;-1,120218E-09
-3,95;-1,106083E-09
-3,9;-1,095968E-09
-3,85;-1,088096E-09
-3,8;-1,08106E-09
-3,75;-1,069744E-09
-3,7;-1,061863E-09
-3,65;-1,053742E-09
-3,6;-1,045934E-09
-3,55;-1,036326E-09
-3,5;-1,030433E-09
-3,45;-1,018312E-09
-3,4;-1,013254E-09
-3,35;-1,003111E-09
-3,3;-9,921302E-10
-3,25;-9,820916E-10
-3,2;-9,746799E-10
-3,15;-9,649472E-10
-3,1;-9,517296E-10
-3,05;-9,453044E-10
-3;-9,363741E-10
-2,95;-9,265306E-10
-2,9;-9,155569E-10
-2,85;-9,071075E-10
-2,8;-8,996825E-10
-2,75;-8,895107E-10
-2,7;-8,752647E-10
-2,65;-8,670034E-10
-2,6;-8,607273E-10
-2,55;-8,469339E-10
-2,5;-8,354672E-10
-2,45;-8,270629E-10
-2,4;-8,179242E-10
-2,35;-8,072744E-10
-2,3;-7,944463E-10
-2,25;-7,833323E-10
-2,2;-7,759422E-10
-2,15;-7,631132E-10
-2,1;-7,534824E-10
-2,05;-7,386185E-10
-2;-7,289704E-10
-1,95;-7,186645E-10
-1,9;-7,022924E-10
-1,85;-6,888419E-10
-1,8;-6,797806E-10
-1,75;-6,646634E-10
-1,7;-6,459738E-10
-1,65;-6,318162E-10
-1,6;-6,214115E-10
-1,55;-6,018079E-10
-1,5;-5,769615E-10
-1,45;-5,55184E-10
-1,4;-5,165967E-10
-1,35;-4,711089E-10
-1,3;-3,980642E-10
-1,25;-2,999585E-10
-1,2;-1,61261E-10
-1,15;4,039373E-11
-1,1;3,226103E-10
-1,05;7,163115E-10
-1;1,248867E-09
-0,95;1,995806E-09
-0,9;3,378318E-09
-0,85;4,68803E-09
-0,8;7,125624E-09
-0,75;1,09864E-08
-0,7;1,710463E-08
-0,65;3,212468E-08
-0,6;5,114832E-08
-0,55;8,058264E-08
-0,5;1,242961E-07
-0,45;1,843923E-07
-0,4;2,579838E-07
-0,35;3,410977E-07
-0,3;4,295349E-07
-0,25;5,215209E-07
-0,2;6,151909E-07
-0,15;7,104734E-07
-0,1;8,071357E-07
-0,05;9,050958E-07
0;1,005045E-06
0,05;1,105926E-06
0,1;1,207524E-06
0,15;1,310214E-06
0,2;1,413931E-06
0,25;1,518703E-06
0,3;1,625201E-06
0,35;1,732598E-06
0,4;1,841199E-06
0,45;1,951199E-06
0,5;2,062618E-06
0,55;2,175669E-06
0,6;2,290634E-06
0,65;2,406463E-06
0,7;2,523747E-06
0,75;2,642169E-06
0,8;2,761999E-06
0,85;2,881613E-06
0,9;3,00157E-06
0,95;3,121118E-06
1;3,240183E-06
1,05;3,359197E-06
1,1;3,476731E-06
1,15;3,593273E-06
1,2;3,708487E-06
1,25;3,822273E-06
1,3;3,934906E-06
1,35;4,045415E-06
1,4;4,15421E-06
1,45;4,261465E-06
1,5;4,366736E-06
1,55;4,470281E-06
1,6;4,571674E-06
1,65;4,670751E-06
1,7;4,767506E-06
1,75;4,862237E-06
1,8;4,955198E-06
1,85;5,045647E-06
1,9;5,133463E-06
1,95;5,219029E-06
2;5,302506E-06
2,05;5,383004E-06
2,1;5,461429E-06
2,15;5,536871E-06
2,2;5,610147E-06
2,25;5,680525E-06
2,3;5,748183E-06
2,35;5,813392E-06
2,4;5,875993E-06
2,45;5,935892E-06
2,5;5,993019E-06
2,55;6,048034E-06
2,6;6,100598E-06
2,65;6,150512E-06
2,7;6,197803E-06
2,75;6,243282E-06
2,8;6,286161E-06
2,85;6,327612E-06
2,9;6,366955E-06
2,95;6,404352E-06
3;6,43974E-06
3,05;6,474121E-06
3,1;6,506684E-06
3,15;6,537424E-06
3,2;6,567152E-06
3,25;6,595797E-06
3,3;6,623115E-06
3,35;6,649493E-06
3,4;6,675049E-06
3,45;6,69991E-06
3,5;6,723987E-06
3,55;6,747542E-06
3,6;6,770312E-06
3,65;6,793069E-06
3,7;6,81529E-06
3,75;6,837143E-06
3,8;6,858709E-06
3,85;6,880161E-06
3,9;6,901288E-06
3,95;6,92224E-06
4;6,942965E-06
4,05;6,96334E-06
4,1;6,983442E-06
4,15;7,00379E-06
4,2;7,023485E-06
4,25;7,04312E-06
4,3;7,062534E-06
4,35;7,081754E-06
4,4;7,100722E-06
4,45;7,1196E-06
4,5;7,13806E-06
4,55;7,156591E-06
4,6;7,174775E-06
4,65;7,19367E-06
4,7;7,212152E-06
4,75;7,230177E-06
4,8;7,248559E-06
4,85;7,266515E-06
4,9;7,284407E-06
4,95;7,301885E-06
5;7,31909E-06
