Tensao [V];Corrente [A]
-5;-1,545149E-10
-4,95;-1,247526E-10
-4,9;-1,003903E-10
-4,85;-7,947898E-11
-4,8;-6,345387E-11
-4,75;-4,787358E-11
-4,7;-3,135936E-11
-4,65;-1,892322E-11
-4,6;-3,326876E-12
-4,55;9,928886E-12
-4,5;2,240485E-11
-4,45;3,513462E-11
-4,4;4,330942E-11
-4,35;5,716528E-11
-4,3;6,993697E-11
-4,25;7,965549E-11
-4,2;9,170151E-11
-4,15;1,026731E-10
-4,1;1,162949E-10
-4,05;1,285145E-10
-4;1,365612E-10
-3,95;1,47343E-10
-3,9;1,594235E-10
-3,85;1,704901E-10
-3,8;1,800202E-10
-3,75;1,893801E-10
-3,7;2,050743E-10
-3,65;2,129559E-10
-3,6;2,218797E-10
-3,55;2,358268E-10
-3,5;2,490323E-10
-3,45;2,622929E-10
-3,4;2,70697E-10
-3,35;2,801147E-10
-3,3;2,940876E-10
-3,25;3,057518E-10
-3,2;3,158647E-10
-3,15;3,244031E-10
-3,1;3,353831E-10
-3,05;3,486527E-10
-3;3,564749E-10
-2,95;3,695425E-10
-2,9;3,806627E-10
-2,85;3,935112E-10
-2,8;4,034253E-10
-2,75;4,134856E-10
-2,7;4,267719E-10
-2,65;4,425143E-10
-2,6;4,503428E-10
-2,55;4,617676E-10
-2,5;4,747674E-10
-2,45;4,887216E-10
-2,4;4,979884E-10
-2,35;5,081959E-10
-2,3;5,227407E-10
-2,25;5,340462E-10
-2,2;5,440319E-10
-2,15;5,583908E-10
-2,1;5,706767E-10
-2,05;5,846327E-10
-2;5,950754E-10
-1,95;6,062884E-10
-1,9;6,179277E-10
-1,85;6,327828E-10
-1,8;6,461064E-10
-1,75;6,599935E-10
-1,7;6,71332E-10
-1,65;6,859845E-10
-1,6;7,005835E-10
-1,55;7,118036E-10
-1,5;7,26243E-10
-1,45;7,430891E-10
-1,4;7,562603E-10
-1,35;7,656652E-10
-1,3;7,800919E-10
-1,25;7,960683E-10
-1,2;8,117743E-10
-1,15;8,276601E-10
-1,1;8,425558E-10
-1,05;8,554751E-10
-1;8,732637E-10
-0,95;8,856653E-10
-0,9;9,023131E-10
-0,85;9,228399E-10
-0,8;9,382868E-10
-0,75;9,541473E-10
-0,7;9,68618E-10
-0,65;9,90976E-10
-0,6;1,009565E-09
-0,55;1,026491E-09
-0,5;1,048873E-09
-0,45;1,075583E-09
-0,4;1,108564E-09
-0,35;1,146568E-09
-0,3;1,198359E-09
-0,25;1,293845E-09
-0,2;1,442916E-09
-0,15;1,655036E-09
-0,1;1,980075E-09
-0,05;2,607273E-09
0;3,106178E-09
0,05;3,591778E-09
0,1;4,262326E-09
0,15;4,942826E-09
0,2;5,559008E-09
0,25;6,15764E-09
0,3;6,817604E-09
0,35;7,483917E-09
0,4;8,100305E-09
0,45;8,712076E-09
0,5;9,36587E-09
0,55;1,006391E-08
0,6;1,068903E-08
0,65;1,130041E-08
0,7;1,196513E-08
0,75;1,266156E-08
0,8;1,331541E-08
0,85;1,3936E-08
0,9;1,461715E-08
0,95;1,532228E-08
1;1,599455E-08
1,05;1,662142E-08
1,1;1,728442E-08
1,15;1,794585E-08
1,2;1,859745E-08
1,25;1,91999E-08
1,3;1,980529E-08
1,35;2,070255E-08
1,4;2,127578E-08
1,45;2,183418E-08
1,5;2,244221E-08
1,55;2,297812E-08
1,6;2,350975E-08
1,65;2,403611E-08
1,7;2,452353E-08
1,75;2,506973E-08
1,8;2,55365E-08
1,85;2,604464E-08
1,9;2,653195E-08
1,95;2,700603E-08
2;2,744417E-08
2,05;2,787478E-08
2,1;2,835453E-08
2,15;2,876931E-08
2,2;2,918911E-08
2,25;2,960265E-08
2,3;3,000095E-08
2,35;3,044613E-08
2,4;3,081555E-08
2,45;3,119251E-08
2,5;3,160427E-08
2,55;3,198755E-08
2,6;3,237503E-08
2,65;3,274043E-08
2,7;3,311953E-08
2,75;3,349155E-08
2,8;3,382945E-08
2,85;3,419408E-08
2,9;3,453837E-08
2,95;3,489663E-08
3;3,519969E-08
3,05;3,556231E-08
3,1;3,589317E-08
3,15;3,619636E-08
3,2;3,651701E-08
3,25;3,681808E-08
3,3;3,713462E-08
3,35;3,74495E-08
3,4;3,772467E-08
3,45;3,800765E-08
3,5;3,828784E-08
3,55;3,858013E-08
3,6;3,888734E-08
3,65;3,913589E-08
3,7;3,94126E-08
3,75;3,969578E-08
3,8;3,995434E-08
3,85;4,02303E-08
3,9;4,052232E-08
3,95;4,08098E-08
4;4,105609E-08
4,05;4,135125E-08
4,1;4,159316E-08
4,15;4,186393E-08
4,2;4,216897E-08
4,25;4,242455E-08
4,3;4,268151E-08
4,35;4,296827E-08
4,4;4,322257E-08
4,45;4,347941E-08
4,5;4,374946E-08
4,55;4,401407E-08
4,6;4,42871E-08
4,65;4,452507E-08
4,7;4,478858E-08
4,75;4,507622E-08
4,8;4,531508E-08
4,85;4,557429E-08
4,9;4,584168E-08
4,95;4,60755E-08
5;4,637183E-08
