Tensao [V];Corrente [A]
-5;-5,018104E-09
-4,95;-5,130544E-09
-4,9;-5,123338E-09
-4,85;-5,1075E-09
-4,8;-5,093886E-09
-4,75;-5,080349E-09
-4,7;-5,067297E-09
-4,65;-5,055605E-09
-4,6;-5,045719E-09
-4,55;-5,03587E-09
-4,5;-5,025527E-09
-4,45;-5,015334E-09
-4,4;-5,005473E-09
-4,35;-4,995023E-09
-4,3;-4,986482E-09
-4,25;-4,974254E-09
-4,2;-4,967137E-09
-4,15;-4,955856E-09
-4,1;-4,948927E-09
-4,05;-4,940573E-09
-4;-4,930536E-09
-3,95;-4,921801E-09
-3,9;-4,91037E-09
-3,85;-4,899283E-09
-3,8;-4,891126E-09
-3,75;-4,880045E-09
-3,7;-4,869712E-09
-3,65;-4,859183E-09
-3,6;-4,850219E-09
-3,55;-4,839226E-09
-3,5;-4,827641E-09
-3,45;-4,814733E-09
-3,4;-4,803521E-09
-3,35;-4,791886E-09
-3,3;-4,778983E-09
-3,25;-4,764708E-09
-3,2;-4,752427E-09
-3,15;-4,738854E-09
-3,1;-4,724535E-09
-3,05;-4,706374E-09
-3;-4,687841E-09
-2,95;-4,671881E-09
-2,9;-4,65154E-09
-2,85;-4,630823E-09
-2,8;-4,609982E-09
-2,75;-4,591306E-09
-2,7;-4,56575E-09
-2,65;-4,540516E-09
-2,6;-4,511772E-09
-2,55;-4,479645E-09
-2,5;-4,441509E-09
-2,45;-4,398314E-09
-2,4;-4,349503E-09
-2,35;-4,292811E-09
-2,3;-4,22009E-09
-2,25;-4,124559E-09
-2,2;-4,007783E-09
-2,15;-3,85868E-09
-2,1;-3,659894E-09
-2,05;-3,400897E-09
-2;-3,073331E-09
-1,95;-2,661896E-09
-1,9;-2,146493E-09
-1,85;-1,221109E-09
-1,8;-7,169935E-10
-1,75;1,868843E-10
-1,7;1,283403E-09
-1,65;3,00712E-09
-1,6;4,124526E-09
-1,55;5,866288E-09
-1,5;7,985101E-09
-1,45;1,056581E-08
-1,4;1,377147E-08
-1,35;1,784087E-08
-1,3;2,582685E-08
-1,25;3,351779E-08
-1,2;4,349693E-08
-1,15;5,635788E-08
-1,1;7,27085E-08
-1,05;9,34672E-08
-1;1,194338E-07
-0,95;1,515772E-07
-0,9;1,905445E-07
-0,85;2,370039E-07
-0,8;2,919945E-07
-0,75;3,549343E-07
-0,7;4,257855E-07
-0,65;5,046372E-07
-0,6;5,91198E-07
-0,55;6,851589E-07
-0,5;7,846319E-07
-0,45;8,892529E-07
-0,4;9,984238E-07
-0,35;1,111708E-06
-0,3;1,228827E-06
-0,25;1,350227E-06
-0,2;1,47474E-06
-0,15;1,602712E-06
-0,1;1,734001E-06
-0,05;1,868644E-06
0;2,007283E-06
0,05;2,14872E-06
0,1;2,293062E-06
0,15;2,440112E-06
0,2;2,589995E-06
0,25;2,74309E-06
0,3;2,900019E-06
0,35;3,058879E-06
0,4;3,22056E-06
0,45;3,384999E-06
0,5;3,552058E-06
0,55;3,721665E-06
0,6;3,892697E-06
0,65;4,065297E-06
0,7;4,239595E-06
0,75;4,414473E-06
0,8;4,591001E-06
0,85;4,767425E-06
0,9;4,944326E-06
0,95;5,121378E-06
1;5,298431E-06
1,05;5,47611E-06
1,1;5,652814E-06
1,15;5,829068E-06
1,2;6,004973E-06
1,25;6,180474E-06
1,3;6,356296E-06
1,35;6,53091E-06
1,4;6,704765E-06
1,45;6,878131E-06
1,5;7,051198E-06
1,55;7,223258E-06
1,6;7,395706E-06
1,65;7,566578E-06
1,7;7,737312E-06
1,75;7,90737E-06
1,8;8,076771E-06
1,85;8,246085E-06
1,9;8,41433E-06
1,95;8,581908E-06
2;8,748553E-06
2,05;8,914611E-06
2,1;9,080424E-06
2,15;9,244826E-06
2,2;9,408122E-06
2,25;9,570284E-06
2,3;9,731451E-06
2,35;9,892065E-06
2,4;1,005099E-05
2,45;1,020805E-05
2,5;1,036373E-05
2,55;1,051872E-05
2,6;1,06726E-05
2,65;1,08245E-05
2,7;1,097482E-05
2,75;1,112409E-05
2,8;1,127163E-05
2,85;1,14182E-05
2,9;1,156249E-05
2,95;1,170569E-05
3;1,184688E-05
3,05;1,198642E-05
3,1;1,212506E-05
3,15;1,226192E-05
3,2;1,23971E-05
3,25;1,253035E-05
3,3;1,266227E-05
3,35;1,279305E-05
3,4;1,292174E-05
3,45;1,304862E-05
3,5;1,317377E-05
3,55;1,329762E-05
3,6;1,342047E-05
3,65;1,354079E-05
3,7;1,365965E-05
3,75;1,377669E-05
3,8;1,389224E-05
3,85;1,400602E-05
3,9;1,411887E-05
3,95;1,422932E-05
4;1,433838E-05
4,05;1,444525E-05
4,1;1,455054E-05
4,15;1,465462E-05
4,2;1,47567E-05
4,25;1,485636E-05
4,3;1,495431E-05
4,35;1,505009E-05
4,4;1,514473E-05
4,45;1,52361E-05
4,5;1,532581E-05
4,55;1,541333E-05
4,6;1,549854E-05
4,65;1,558154E-05
4,7;1,5662E-05
4,75;1,574015E-05
4,8;1,581553E-05
4,85;1,58889E-05
4,9;1,59606E-05
4,95;1,602952E-05
5;1,609625E-05
